job_title,company_name,experience_level,job_type,skill_tags,cleaned_description
Knowledge and Communications Writer,WorkMotion,Lead/Principal,Frontend,"aws, git",tired of the 9to5 grind imagine a worldwithout borders where opportunities are endless thats the future of work and were building it at workmotion our allinone hr platform makes it easy to hire and manage global teams ensuring compliance and streamlining processes so whether youre a digital nomad or a remotefirst company weve got you covered ready to join the future of work lets build something amazing together as we value worklife balance please only apply if youre based within 2 hours of the central european timezone our knowledge team is looking for a clear clientfocused communicator with a pr mindset and a passion for structured content to join us as a knowledge and communications writer in this role youll be responsible for drafting and delivering companywide external communicationsparticularly operational hr product and compliance updates for our clients and talents while also contributing to highquality internal documentation what you will do as a knowledge and communications writer draft and deliver external communications to clients and talents including mass announcements on operational hr compliance product and payroll topics ensure all communications are crafted with clarity consistency and a professional tone aligned with brand guidelines build and maintain a newsletter that showcases workmotions leadership in global compliance perform systematic audits of internal knowledgeensuring content is updated while working with internal teams to validate accuracy and uphold timelines collaborate with legal compliance product and operations teams to gather insights and convert them into accessible help center content draft and refine procedure manuals technical specs and communication templates for internal use or clientfacing deployment what we are looking for a strong communicator with a background or clear interest in external communications pr or corporate messagingespecially in a clientfacing or operational context excellent command of englishgrammar structure consistency and tone matter deeply to us strong attention to detail editorial discipline and the ability to follow brand toneofvoice guides experience or interest in turning technical compliance or operational subjects into clear credible content ability to work in a fully remote team willingness to learn is essential our benefits and perks global remote and thriving were a global team of talented individuals spread across 26 countries our workflex program lets you work from anywhere anytime whether its a beachside office or a cosy home office the choice is yours your wellbeing is our priority we know mental health matters which is why we offer a dedicated wellbeing day a full day off just to recharge and relax get fit and stay active whether its yoga weightlifting or a quick jogwork out on your terms at a discount with our subsidised gym memberships learn grow and develop we believe in constant growth with our training development allowance youll have all the opportunities you need to keep expanding your skills and knowledge stay connected take part in exciting annual team meetups diversity is our superpower we are proud to be an equal opportunity employer committed to fostering a diverse and inclusive workplace benefits vary depending on location due to local laws and regulations at workmotion were proud to be an equal opportunity employer if you need any accommodations during the recruitment process just let our recruitment team on jobsworkmotioncom were here to support you every step of the way about the company we are workmotion an employer of the future by thinking outside the border we are revolutionizing the working world and making the dream of working from anywhere a reality our allinone hr platform redefines global onboarding and management ensuring 100 compliant remote employment whats great about being part of workmotion is that we practice what we preach were all about location flexibility joining us means embracing remote work without limits our passion lies in building a more globalized world and in transforming how we work in a meaningful way
Compensation Analyst II,Everi,Lead/Principal,Backend,"aws, git",igt where innovation meets entertainment on a global scale weve recently leveled upigt gaming and digital have joined forces with everi creating a powerhouse in the world of gaming digital experiences and fintech solutions from the casino floor to your mobile screen were all about delivering thrilling responsible and unforgettable gaming experiences whether its spinning reels placing bets or powering secure payments we bring the funbacked by serious tech deep player insights and a passion for innovation with a team of over 7000 and a presence in 100 countries were not just globalwere locally legendary our teams work closely with regulators governments and partners to ensure we play by the rules while pushing the boundaries of whats possible if youre ready to bring your talent to a team thats shaping the future of entertainment your next big move starts here for more information please visit wwwigtcom or wwwevericom overview we are seeking a compensation analyst ii to join our dynamic hr team this role is essential in ensuring that our job descriptions compensation structures and pay practices remain competitive fair and compliant youll work closely with hr leaders recruiters and managers to design maintain and analyze compensation programs that support our mission to attract and retain top talent worldwide what will you be doing create update and maintain accurate job descriptions and compensation data partner with hr recruiting and managers to provide timely salary ranges and guidance ensure compliance with flsa standards and conduct regular audits of job classifications and pay structures perform market analysis salary surveys and reporting to keep igts compensation competitive support annual compensation planning processes maintain strict confidentiality in handling sensitive information skills knowledge expertise for the job bachelors degree in human resources business administration or a related field or equivalent experience 2 years experience in hr analytics or related fields at least 1 year of experience in compensation strong knowledge of flsa classifications compensation principles and market benchmarking advanced excel skills experience with hris systems preferred payfactor and radford experience a plus excellent analytical organizational and communication skills ability to thrive in a collaborative environment while managing multiple priorities and deadlines whats in it for you be part of a global leader in gaming and technology innovation work alongside a diverse team of professionals passionate about creating meaningful solutions access to professional development opportunities and career growth competitive compensation and comprehensive benefits package a culture that values collaboration creativity and respect at igt we believe compensation should reflect you your unique background skills experience and even where you work thats why our starting compensation range is 3300 3800 an hour with room to go higher or lower depending on the full picture we also follow all local pay laws and collective bargaining agreements so everythings above board but waittheres more base pay is just the beginning our total rewards program is packed with perks sales roles you might earn commissions other roles you could snag discretionary bonuses benefits galore health dental vision life accident disability insurance tuition reimbursement to keep your brain buzzing paid time off to recharge wellness programs to keep you feeling great identity theft insurance for peace of mind 401k savings plan with company contributions to help you plan for the future note some programs have eligibility requirementsbut well help you navigate those
Logistics Accountant,OurAssistants,Not Specified,Frontend,git,location work from home type of employment fulltime work shift us business hours about us at ourassistants we connect logistics property management and servicebased businesses with toptier virtual professionals were committed to supporting our clients operations while creating a growthfocused remotefriendly work environment for our team members learn more at ourassistantscom job summary we are looking for a detailoriented and experienced logistics accountant to support financial operations for a usbased logistics company the ideal candidate will have handson experience with karmak fusion or legacy and other accounting or fleet management tools this role will focus on bookkeeping reconciliation and financial tracking tailored to logistics operationscovering parts labor service tickets and inventory key responsibilities oversee daily accounting tasks related to logistics and fleet service operations perform reconciliations journal entries and monthend closing activities track and manage service tickets labor costs and parts inventory using karmak handle accounts payable ap and receivable ar transactions accurately and timely work closely with service managers and operations teams to validate data and address discrepancies generate and analyze financial reports including job costing margins and service profitability ensure adherence to company accounting policies and audit compliance maintain digital documentation of financial records invoices and reconciliations contribute to budgeting forecasting and variance analysis tasks qualifications and skills required at least 2 years of experience in accounting preferably in logistics fleet or service industries direct experience with karmak software fusion or legacy proficiency in accounting software quickbooks netsuite or similar solid understanding of service department accounting parts labor work orders accuracy attention to detail and excellent organizational skills proficient in microsoft excel or google sheets for reporting and analysis strong communication skills written and verbal in english selfdriven deadlineoriented and effective in remote work environments preferred familiarity with logistics or dealership operations experience supporting usbased accounting teams background in audit preparation or financial compliance additional requirements must be currently residing in the philippines or latin america must have a stable internet connection and remoteready workstation compensation and benefits permanent workfromhome setup collaborative and supportive remote work culture ongoing training and professional development opportunities competitive salary
Senior DevOps Engineer,QAD,Lead/Principal,Backend,"python, aws, sql, docker, kubernetes, terraform, jenkins, git, github",company description qad redzone is changing an industry with a peoplebased approach to continuous improvement our products quickly boost productivity and morale by addressing plantspecific production issues that affect production quality and maintenance teams we are looking for a proven senior devops engineer to work alongside other developers on a crossfunctional delivery team our developers innovate rather than merely follow a script we value their input and ideas allowing us to deliver products and functionalities ahead of our competitors we take pride in staying at the forefront of the industry this role is fully remote but must be based in mexico with full work authorization already in effect no visa sponsorship available job description as a devops engineer you will maintain and enhance established aws cloud infrastructure while collaborating with our existing devops team take ownership of specific components to distribute workload across the team develop comprehensive application understanding to improve infrastructure design optimize deployment pipelines and ensure saas environment reliability what you will do aws resource maintenance and enhancement using terraform and cloudformation implementing incremental infrastructure improvements kubernetes cluster management and optimization on eks improving container orchestration with helm and kustomize cicd pipeline refinement in github actions jenkins and flux2 to improve deployment reliability and speed system health monitoring with datadog and aws cloudwatch enhancing alerting rules and dashboards as needed development team collaboration to understand application requirements and behaviors using insights to improve infrastructure designs complex issue troubleshooting within multienvironment aws infrastructure qualifications professional degree optional 5 years of experience in the field computer skills aws cloud account and resource management including security policies iam vpc ec2 eks rds s3 msk waf and load balancers kubernetes administration troubleshooting and optimization docker container image creation and troubleshooting infrastructureascode implementation using terraform andor cloudformation gitops workflows and git source control including tools like flux2 or argocd cicd tooling proficiency specifically github actions and jenkins pipelines go or python scripting for operational workflow automation datadog and cloudwatch monitoring implementation application architecture understanding to inform infrastructure decisions important to have aws resource optimization for cost efficiency nice to have sql database operations and troubleshooting container image security scanning implementation production infrastructure change management other knowledge go python sql yaml hcl terraform additional information your health and well being are important to us at qad we provide programs that help you strike a healthy worklife balance opportunity to join a growing business launching into its next phase of expansion and transformation collaborative culture of smart and hardworking people who support one another to get the job done an atmosphere of growth and opportunity where ideasharing is always prioritized over level or hierarchy compensation packages based on experience and desired skill set about qad qad inc is a leading provider of adaptive cloudbased enterprise software and services for global manufacturing companies global manufacturers face everincreasing disruption caused by technologydriven innovation and changing consumer preferences in order to survive and thrive manufacturers must be able to innovate and change business models at unprecedented rates of speed qad calls these companies adaptive manufacturing enterprises qad solutions help customers in the automotive life sciences packaging consumer products food and beverage high tech and industrial manufacturing industries rapidly adapt to change and innovate for competitive advantage qad is committed to ensuring that every employee feels they work in an environment that values their contributions respects their unique perspectives and provides opportunities for growth regardless of background qads dei program is driving higher levels of diversity equity and inclusion so that employees can bring their whole self to work we are an equal opportunity employer and do not discriminate against any employee or applicant for employment because of race color sex age national origin religion sexual orientation gender identity status as a veteran and basis of disability or any other federal state or local protected class liremote
Scrum Master,Software Mind,Senior,Frontend,azure,company description we are software mind an awesome team of engineers who are ready to ramp up any topnotch companys projects our aim to always be one step ahead become part of a multicultural company in constant growth with an excellent work environment certified by great place to work job description overview software mind is seeking qualified candidates to fill the role of scrum master in addition to a competitive salary rate and a positive work environment we are committed to delivering highquality technology solutions we also offer flexible schedules an authentic worklife balance payment in us dollars about the role the scrum masters primary responsibility is supporting 2 kanban teams within scrum framework to ensure the team has what it needs to continually deliver value the scrum master is a team facilitator tasked with improving performance in the areas of quality predictability flow and velocity lidni qualifications some of the main responsibilities for the role include ensure the teams are focused on building the right capabilities and ensure focus on daily and iteration goals in the context of the current program increment pi objectives motivate and support project team members ensure they have the tools and knowledge to do their job and that all blocking issues are resolved quickly facilitate team meetings including the daily standup iteration planning iteration review and iteration retrospective eliminates impediments by actively addressing issues so that the team can remain focused on achieving the objectives of the iteration employs best practices to assist teams in constantly improving the quality of their deliverables and meeting the definition of done dod building a highperforming team focused on everimproving team dynamics and performance helps the team manage interpersonal conflicts challenges and opportunities effectively communicates with management and outside stakeholders continuously refineimprove team performance metrics by working with the team escalate issues that require executive attention coordinate interteam cooperation facilitates preparation and readiness for agile eventsceremonies assists the team in preparation for activities including pi planning system demos etc guides the team in establishing normalized work estimates and helps the team effectively estimate features and capabilities coaches teams in agilescrum best practices utilizes azure devops to manage agile teams delivery monitoring progress against goals job skillsrequirements 90 english written and oral at least b2 level with excellent communication skills previous experience as a scrum master or similar role experience working with the scrum framework able to motivate teams build a strong collaborative culture strong communicator and effective problemsolver additional information
Office Assistant,Coalition Technologies ,Senior,Backend,No Tags Found,why you should apply coalition technologies is devoted to delivering clients the highest quality work while providing our team a fun thriving and innovative environment along with the opportunity for tremendous career growth and rapid advancement ct offers the most competitive profitsharing bonus plan in the industry paying up to 50 of company profits to fulltime employees each month a highly competitive paid time off plan promoting quality worklife balance subsidized gym memberships to help team members feel their best medical dental vision and life insurance packages for all usbased team members international health insurance reimbursement program for all international team members a benefit unique to coalition device upgrade and learning reimbursement programs motivating career development plans with clearly defined goals and rewards additional jobspecific incentives and bonuses plus 100 of our team works remotely with the support of time tracking software our company culture specializes in supporting remote team members and weve been doing so for more than a decade ct welcomes your application wherever in the world its coming from you should have willingness to learn grow and collaborate with the team and company as a whole excellent verbal and written communication skills a high level of discretion ethics and trustworthiness intermediate spreadsheet skills preferred innovative thinking and a willingness to challenge existing methods where improvement is possible experience in bookkeeping financial record keeping preferred experience with google sheets or excel quickbooks online and gsuite preferred the availability to work 40 hours per week from 900 am to 600 pm pst a reliable space to work remotely with a fast computer quality internet camera microphone and speakers your duties and tasks answering phones and emails completing entrylevel bookkeeping including recording expenses organizing receipts and completing other transaction records resolving billing issues with clients and internal team members providing account access usage reports data analysis and other ad hoc requests for team members supporting quality assurance checks of various internal and client facing reporting organizing new client contracts create invoices and process client payments contributing to internal database maintenance upkeep and data entry researching ordering distributing companywide gifts 23 times per year organizing company events competitions and special projects throughout the year facilitating company holiday time off and schedule variation calendars we are looking for talented and diligent candidates who excel in our skills tests and will consider these candidates even if past experience or educational background criteria arent met california new york washington and colorado starting base pay for this position ranges between 15 25 per hour compensation may vary based on factors such as experience qualifications skills test performance geographic location and seniority of the position offered outside of california new york washington and colorado compensation may fall outside the above ranges
Software Engineer (Backend),Loganix,Not Specified,Backend,"python, javascript, java, php, sql, mysql",location remote division dev ops reports to coo compensation 3050usdhour about the role were looking for a software developer to take the reins on building automating and scaling the systems that power loganixs seo and linkbuilding services youll work at the intersection of custom web development api integrations and aidriven automation turning ideas into tools that save time deliver insights and keep us ahead of the competition what youll do build maintain tools develop backend and frontend systems for crms vendor portals dashboards and clientfacing platforms automate workflows use php python and javascript to automate seo data processing and reporting integrate apis ai models work with ahrefs clearscope google apis scraperapi youtube captions and llms to enhance operations design uiux build clean efficient interfaces using bootstrap jquery and datatables scrape process data create pipelines for serp data content analysis and keyword clustering support infrastructure collaborate on server migrations performance tuning and troubleshooting in lamplitespeed environments maintain vendor access manage updates and access for linkbuilding vendors solve problems diagnose and fix bugs quickly in live environments what were looking for experience 10 years in phpmysql development with proven automation and api integration work tech skills php mysql javascriptjquery bootstrap bash scripting python automation rest apis bonus points seo knowledge web scraping expertise ai integration experience linux server administration skills mindset selfdirected detailoriented resourceful and able to translate business needs into technical solutions why join us work directly on systems that drive measurable revenue and efficiency collaborate with a tightknit highimpact team freedom to choose the best tools and tech for the job remotefirst flexible work environment
🇩🇪 Agent/in (m/w/d) Inbound & Outbound Mobilfunk Sales,hey contact heroes GmbH,Not Specified,Not Specified,No Tags Found,this job ad is written in german 100 homeoffice start oktober 2025 du hast callcenter vertrieb im blut du liebst es kunden zu beraten optionen zu verkaufen und dabei richtig provision zu machen dann komm ins team der hey contact heroes und starte als agent mwd im mobilfunk voll durch aufgaben dein job schritt fr schritt anfang oktober du startest in einer b2c telesaleskampagne hier rufst du mobilfunkbestandskunden an und bietest ihnen attraktive zusatzoptionen z b datenpakete an ende november du wechselst ins inbound mobilfunk service sales dort beantwortest du kundenanfragen und nutzt jede chance fr vertriebsorientierte gesprchsfhrung deine aufgaben outboundvertrieb aktive ansprache von kunden und angebot von zusatzoptionen z b datenpakete telefonische beratung von mobilfunkbestandskunden inboundservice sales kompetente bearbeitung eingehender kundenanfragen sowie upselling crossselling dokumentation der kundengesprche in den systemen sicherstellung einer hohen kundenzufriedenheit und gleichzeitigem vertriebserfolg qualifikation deine arbeitszeiten rollierende schichten montag bis sonntag zwischen 700 und 2300 uhr etwa zwei wochenenden pro monat im einsatz voll oder teilzeit mglich benefits dein deal bei uns fairer stundenlohn ungedeckelte provision dein erfolg zahlt sich aus monatliche homeofficepauschale als extra strukturierte schulung einarbeitung damit du von tag eins an durchstarten kannst ein motiviertes team das vertrieb liebt und lebt bonusaktion fr deinen start wenn du zwischen dem 15092025 und 15102025 bei uns beginnst zahlen wir dir eine prmie von 200 fr jedes volle jahr berufserfahrung im kundenservice fr ein telekommunikationsunternehmen nachweis per arbeitgeberbescheinigung lohnabrechnung oder arbeitszeugnis die auszahlung erfolgt gesammelt nach erfolgreicher beendigung der probezeit 6 monate bist du bereit dann bewirb dich jetzt und werde teil der hey contact heroes
AI Trainer / English,Mindrift,Lead/Principal,Backend,No Tags Found,this opportunity is only for candidates currently residing in the specified country your location may affect eligibility and rates at mindrift innovation meets opportunity we believe in using the power of collective intelligence to ethically shape the future of ai what we do the mindrift platform connects specialists with ai projects from major tech innovators our mission is to unlock the potential of generative ai by tapping into realworld expertise from across the globe about the role mindrift is looking for passionate freelance contributors to join the tendem project httpstendemai to help build the future of hybrid agents where human expertise and ai capabilities work hand in hand as an ai agent assistant youll collaborate with large language models llms that handle repetitive tasks while you bring the nuance judgment and creativity required to deliver highquality results in this role you wont just review what ai produces youll work alongside it shaping and completing outputs so they are accurate reliable and ready for realworld application your daytoday may range from factchecking a scientific claim to curating a dataset conducting market research or refining sales leads this flexible parttime remote opportunity is ideal for professionals with backgrounds in research editing analysis or related fields who are excited by the possibilities of humanai collaboration your contributions will directly influence how ai systems learn evolve and support industries worldwide this is a freelance role for a project and your typical tasks may include your mission deliver wellreasoned accurate and clearly written outputs backed by credible sources conduct thorough web research to verify information and collect supporting evidence collaborate with large language models llms and internal tools using them as copilots to complete complex tasks design and refine prompts to guide ai toward higherquality results apply best practices for working with llms understanding both their strengths and limitations adapt quickly between diverse annotation research and analysis tasks while following detailed guidelines how to get started simply apply to this post qualify and get the chance to contribute to projects aligned with your skills on your own schedule from creating training prompts to refining model responses youll help shape the future of ai while ensuring technology benefits everyone requirements you have a masters degree or bachelors degree in various areas undergraduate students are acceptable you have at least 1 year of relevant experience your level of english is upperintermediate b2 or above you are skilled in web searching factchecking intentchecking able to work with llms and have great attention to detail you are ready to learn new methods able to switch between tasks and topics quickly and sometimes work with challenging complex guidelines our freelance role is fully remote so you just need a laptop internet connection time available and enthusiasm to take on a challenge benefits why this freelance opportunity might be a great fit for you get paid for your expertise with rates that can go up to 8hour depending on your skills experience and project needs take part in a parttime remote freelance project that fits around your primary professional or academic commitments work on advanced ai projects and gain valuable experience that enhances your portfolio influence how future ai models understand and communicate in your field of expertise
AI Trainer / English,Mindrift,Lead/Principal,Backend,No Tags Found,this opportunity is only for candidates currently residing in the specified country your location may affect eligibility and rates at mindrift innovation meets opportunity we believe in using the power of collective intelligence to ethically shape the future of ai what we do the mindrift platform connects specialists with ai projects from major tech innovators our mission is to unlock the potential of generative ai by tapping into realworld expertise from across the globe about the role mindrift is looking for passionate freelance contributors to join the tendem project httpstendemai to help build the future of hybrid agents where human expertise and ai capabilities work hand in hand as an ai agent assistant youll collaborate with large language models llms that handle repetitive tasks while you bring the nuance judgment and creativity required to deliver highquality results in this role you wont just review what ai produces youll work alongside it shaping and completing outputs so they are accurate reliable and ready for realworld application your daytoday may range from factchecking a scientific claim to curating a dataset conducting market research or refining sales leads this flexible parttime remote opportunity is ideal for professionals with backgrounds in research editing analysis or related fields who are excited by the possibilities of humanai collaboration your contributions will directly influence how ai systems learn evolve and support industries worldwide this is a freelance role for a project and your typical tasks may include your mission deliver wellreasoned accurate and clearly written outputs backed by credible sources conduct thorough web research to verify information and collect supporting evidence collaborate with large language models llms and internal tools using them as copilots to complete complex tasks design and refine prompts to guide ai toward higherquality results apply best practices for working with llms understanding both their strengths and limitations adapt quickly between diverse annotation research and analysis tasks while following detailed guidelines how to get started simply apply to this post qualify and get the chance to contribute to projects aligned with your skills on your own schedule from creating training prompts to refining model responses youll help shape the future of ai while ensuring technology benefits everyone requirements you have a masters degree or bachelors degree in various areas undergraduate students are acceptable you have at least 1 year of relevant experience your level of english is upperintermediate b2 or above you are skilled in web searching factchecking intentchecking able to work with llms and have great attention to detail you are ready to learn new methods able to switch between tasks and topics quickly and sometimes work with challenging complex guidelines our freelance role is fully remote so you just need a laptop internet connection time available and enthusiasm to take on a challenge benefits why this freelance opportunity might be a great fit for you get paid for your expertise with rates that can go up to 6hour depending on your skills experience and project needs take part in a parttime remote freelance project that fits around your primary professional or academic commitments work on advanced ai projects and gain valuable experience that enhances your portfolio influence how future ai models understand and communicate in your field of expertise
